Precinct,rank1,rank2,rank3
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,AK Hassan,Mohamoud Hassan
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
MINNEAPOLIS W-2 P-01,Becky Alper,Mohamoud Hassan,skipped
